a bit	m?t chút, m?t it
arrival	s? d?n, s? t?i noi
arrow	tên, mui tên
art	ngh? thu?t, m? thu?t
article	bài báo, d? m?c
artificial	nhân t?o
artificially	nhân t?o
artist	ngh? si
artistic	thu?c ngh? thu?t, thu?c m? thu?t
as	nhu
as soon as	ngay khi
as well	cung, cung nhu
ashamed	ngu?ng, x?u h?
aside	v? m?t bên, sang m?t bên
aside from	ngoài ra, tr? ra
ask	h?i
asleep	ng?, dang ng?
aspect	v? b? ngoài, di?n m?o
assist	giúp, giúp d?; tham d?, có m?t
assistance	s? giúp d?
assistant	ngu?i giúp d?, ngu?i ph? tá; giúp d?, ph? tá
associate	k?t giao, liên k?t, k?t h?p, cho c?ng tác
associated with	liên k?t v?i
association	s? k?t h?p, s? liên k?t
assume	mang, khoác, có, l?y
assure	d?m b?o, cam doan
at first	tr?c ti?p
at least	ít ra, ít nh?t, chí ít
atmosphere	khí quy?n
atom	nguyên t?
attach	g?n, dán, trói, bu?c
attached	g?n bó
attack	s? t?n công, s? công kích; t?n công, công kích
attempt	s? c? g?ng, s? th?; c? g?ng, th?
attempted	c? g?ng, th?
attend	d?, có m?t
attention	s? chú ý
attitude	thái d?, quan di?m
attorney	ngu?i du?c ?y quy?n
attract	hút; thu hút, h?p d?n
attraction	s? hút, s?c hút
attractive	hút, thu hút, có duyên, lôi cu?n
audience	thính, khan gi?
august	tháng tám
aunt	cô, dì
author	tác gi?
authority	uy quy?n, quy?n l?c
automatic	t? d?ng
autumn	mùa thu
available	có th? dùng du?c, có giá tr?, hi?u l?c
average	trung bình, s? trung bình, m?c trung bình
avoid	tránh, tránh xa
awake	dánh th?c, làm th?c d?y
award	ph?n thu?ng; t?ng, thu?ng
aware	bi?t, nh?n th?c, nh?n th?c th?y
away	xa, xa cách, r?i xa, di xa
awful	oai nghiêm, d? s?
awkward	v?ng v?, lung túng
back	lung, v? phía sau, tr? l?i
background	phía sau; n?n
backward	v? phía sau, lùi l?i
bacteria	vi khu?n
bad	x?u, t?i
bad-tempered	x?u tính, d? n?i cáu
badly	x?u, t?i
bag	bao, túi, c?p xách
baggage	hành lý
bake	nung, nu?ng b?ng lò
balance	cái cân; làm cho cân b?ng, tuong x?ng
ball	qu? bóng
ban	c?m, c?m ch?; s? c?m
band	bang, dai, n?p
bandage	d?i bang; bang bó
bank	b?  , dê
bar	quán bán ru?u
bargain	s? m?c c?, s? giao kèo mua bán
barrier	d?t chu?ng ng?i v?t
base	co s?, co b?n, n?n móng; d?t tên, d?t co s? trên cái gì
basic	co b?n, co s?
basically	co b?n, v? co b?n
basis	n?n t?ng, co s?
bath	s? t?m
bathroom	bu?ng t?m, nhà v? sinh
battery	pin, ?c quy
battle	tr?n dánh, chi?n thu?t
bay	gian ; bays: vòng nguy?t qu?
be going to	s?p s?a, có ý d?nh
be sick	b? ?m
beach	bãi bi?n
beak	m? chim
bear	mang, c?m, vác, deo, ôm
beard	râu
beat	ti?ng d?p, s? d?p; dánh d?p, d?m
beautiful	d?p
beautifully	t?t d?p, dáng hài lòng
beauty	v? d?p, cái d?p; ngu?i d?p
because	b?i vì, vìbecause of prep. vì, do b?i
become	tr? thành, tr? nên
bed	cái giu?ng
bedroom	phòng ng?
beef	th?t bò
beer	ru?u bia
before	tru?c, d?ng tru?c
begin	b?t d?u, kh?i d?u
beginning	ph?n d?u, lúc b?t d?u, lúc kh?i d?u
behalf	s? thay m?t
behave	d?i x?, an ?, cu x?
behind	sau, ? d?ng sau
belief	lòng tin, d?c tin, s? tin tu?ng
believe	tin, tin tu?ng
bell	cái chuông, ti?ng chuông
belong	thu?c v?, c?a, thu?c quy?n s? h?u
below	? du?i, du?i th?p, phía du?i
belt	dây lung, th?t lung
bend	ch? r?, ch? u?n; khu?u tay; cúi xu?ng, u?n cong
beneath	? du?i, du?i th?p
benefit	l?i, l?i ích; giúp ích, làm l?i cho
bent	khi?u, s? thích, khuynh hu?ng
beside	bên c?nh, so v?i
bet	dánh cu?c, cá cu?c; s? dánh cu?c
betting	s? dánh cu?c
between	gi?a, ? gi?a
beyond	? xa, phía bên kia
bicycle	xe d?p
bid	d?t giá, tr? giá; s? d?t giá, s? tr? giá
big	to, l?n
bill	hóa don, gi?y b?c
bin	thùng, thùng d?ng ru?u
biology	sinh v?t h?c
bird	chim
birth	s? ra d?i, s? sinh d?
birthday	ngày sinh, sinh nh?t
biscuit	bánh quy
bit	mi?ng, m?nh
bite	c?n, ngo?m; s? c?n, s? ngo?m
bitter	d?ng; d?ng cay, chua xót
bitterly	d?ng, d?ng cay, chua xót
black	den; màu den
blade	lu?i
blame	khi?n trách, m?ng trách; s? khi?n trách, s? m?ng trách
blank	tr?ng, d? tr?ng; s? tr?ng r?ng
blankly	ngây ra, không có th?n
blind	dui, mù
block	kh?i, t?ng ; làm ngan c?n, ngan ch?n
blonde	hoe vàng, mái tóc hoe vàng
blood	máu, huy?t; s? tàn sát, chem gi?t
blow	n? hoa; s? n? hoa
blue	xanh, màu xanh
board	t?m ván; lát ván, lót ván
boat	tàu, thuy?n
body	thân th?, thân xác
boil	sôi, lu?c
bomb	qu? bom; oánh bom, th? bom
bone	xuong
book	sách; ghi chép
boot	giày ?ng
border	b?, mép, v?a, l?
bore	bu?n chán, bu?n t?
boring	bu?n chán
born: be born	sinh, d?
borrow	vay, mu?n
boss	ông ch?, th? tru?ng
both	c? hai
bother	làm phi?n, qu?y r?y, làm b?c mình
bottle	chai, l?
bottom	ph?n du?i cùng, th?p nh?t; cu?i, cu?i cùng
bound	nh?t d?nh, ch?c ch?n
bowl	cái bát
box	h?p, thùng
boy	con trai, thi?u niên
boyfriend	b?n trai
brain	óc não; d?u óc, trí não
branch	ngành; nhành cây, nhánh song, ng? du?ng
brand	nhãn
brave	gan d?, can d?m
bread	bánh m?
break	b? gãy, d?p v?; s? gãy, s? v?
breakfast	b?a di?m tâm, b?a sáng
breast	ng?c, vú
breath	hoi th?, hoi
breathe	hít, th?
breathing	s? hô h?p, s? th?
breed	nuôi du?ng, cham sóc, giáo d?c; sinh d?; nòi gi?ng
brick	g?ch
bridge	cái c?u
brief	ng?n, g?n, v?n t?t
briefly	ng?n, g?n, v?n t?t, tóm t?t
bright	sáng, sáng chói
brightly	sáng chói, tuoi
brilliant	t?a sáng, r?c r?, chói l?i
bring	mang, c?m , xách l?i
broad	r?ng
broadcast	tung ra kh?p noi,truy?n r?ng rãi; phát thanh, qu?ng bá
broadly	r?ng, r?ng rãi
broken	b? gãy, b? v?
brother	anh, em trai
brown	nâu, màu nâu
brush	bàn ch?i; ch?i, quét
bubble	bong bóng, b?t, tam
budget	ngân sách
build	xây d?ng
building	s? xây d?ng, công trình xây d?ng; tòa nhà bindinh
bullet	d?n
bunch	búi, chùm, bó, c?m, bu?ng; b?y, dàn
burn	d?t, d?t cháy, th?p, nung, thiêu
burnt	b? d?t, b? cháy, khê; rám n?ng, s?m
burst	n?, n? tung ; háo h?c
bury	chôn c?t, mai táng
bus	xe buýt
bush	b?i cây, b?i r?m
business	vi?c buôn bán, thuong m?i, kinh doanh
busy	b?n, b?n r?n
but	nhung
butter	bo
button	cái nút, cái khuy, cúc
buy	mua
buyer	ngu?i mua
by	b?i, b?ng
by means of	b?ng phuong ti?n
bye exclamation	t?m bi?t
cabinet	t? có nhi?u ngan d?ng d?
cable	dây cáp
cake	bánh ng?t
calculate	tính toán
calculation	s? tính toán
call	g?i; ti?ng kêu, ti?ng g?i
calm	yên l?ng, làm d?u di; s? yên l?ng, s? êm ?
calmly	yên l?ng, êm ?; bình tinh, di?m tinh
came	d?n, di
camera	máy ?nh
camp	tr?i, ch? c?m tr?i; c?m tr?i, h? tr?i
campaign	chi?n d?ch, cu?c v?n d?ng
camping	s? c?m tr?i
can modal	có th?; nhà tù, nhà giam, bình, ca d?ng
cancel	h?y b?, xóa b?
cancer	b?nh ung thu
candidate	ngu?i ?ng c?, thí sinh, ngu?i d? thi
candy	k?o
cannot	không th?
cap	mu lu?i trai, mu v?i
capable	có tài, có nang l?c; có kh? nang, c? gan
capacity	nang l?c, kh? nang ti?p thu, nang su?t
capital	th? dô, ti?n v?n; ch? y?u, chính y?u, co b?n
captain	ngu?i c?m d?u, ngu?i ch? huy, th? linh
capture	b?t gi?, b?t; s? b?t gi?, s? b? b?t
car	xe hoi
card	th?, thi?p
cardboard	bìa c?ng, các tông
care	s? cham sóc, cham nom; cham sóc
career	ngh? nghi?p, s? nghi?p
careful	c?n th?n, c?n tr?ng, bi?t gi? gìn
carefully	c?n th?n, chu dáo
careless	so su?t, c?u th?
carpet	t?m th?m, th?m
carrot	c? cà r?t
carry	mang, vác, khuân ch?
case	v?, ngan, túi
cash	ti?n, ti?n m?t
cast	quang, ném, th?, dánh g?c; s? quang, s? ném
castle	thành trì, thành quách
cat	con mèo
catch	b?t l?y, n?m l?y, tóm l?y, ch?p l?y
category	h?ng, lo?i; ph?m trù
cause	nguyên nhân, nguyên do; gây ra, gây nên
cease	d?ng, ng?ng, ng?t, thôi, h?t, t?nh
ceiling	tr?n nhà
celebrate	k? ni?m, làm l? k? ni?m; tán duong, ca t?ng
celebration	s? k? ni?m, l? k? ni?m; s? tán duong, s? ca t?ng
cell	ô, ngan
cellphone	di?n tho?i di d?ng
cent	d?ng xu
centimetre	xen ti met
central	trung tâm, ? gi?a, trung uong
centre	di?m gi?a, trung tâm, trung uong
century	th? k?
ceremony	nghi th?c, nghi l?
certain	ch?c ch?n
certainly	ch?c ch?n, nh?t d?nh
certificate	gi?y ch?ng nh?n, b?ng, ch?ng ch?
chain	dây, xích; xính l?i, trói l?i
chair	gh?
chairman, chairwoman	ch? t?ch, ch? t?a
challenge	s? th? thách, s? thách th?c; thách th?c, th? thách
chamber	bu?ng, phòng, bu?ng ng?
chance	s? may m?n
change	thay d?i, s? thay d?i, s? bi?n d?i
channel	kênh , eo bi?n
chapter	chuong
character	tính cách, d?c tính, nhân v?t
characteristic	riêng, riêng bi?t, d?c trung, d?c tính, d?c di?m
charge	nhi?m v?, b?n ph?n, trách nhi?m; giao nhi?m v?, giao vi?c
charity	lòng t? thi?n, lòng nhân d?c; s? b? thí
chart	d? th?, bi?u d?; v? d? th?, l?p bi?u d?
chase	san b?t; s? san b?t
chat	nói chuy?n, tán g?u; chuy?n phi?m, chuy?n g?u
cheap	r?
cheaply	r?, r? ti?n
cheat	l?a, l?a d?o; trò l?a d?o, trò gian l?n
check	ki?m tra; s? ki?m tra
cheek	má
cheerful	vui m?ng, ph?n kh?i, h? h?i
cheerfully	vui v?, ph?n kh?i
cheese	pho mát
chemical	thu?c hóa h?c; ch?t hóa h?c, hóa ch?t
chemist	nhà hóa h?c
chemist’s	hóa h?c, môn hóa h?c, ngành hóa h?c
cheque	séc
chest	t?, ruong, hòm
chew	nhai, ng?m nghi
chicken	gà, gà con, th?t gà
chief	tr?ng y?u, chính y?u; th? linh, lãnh t?, ngu?i d?ng d?u, x?p
child	d?a bé, d?a tr?
chin	c?m
chip	v? bào, m?nh v?, ch? s?t, m?
chocolate	sô cô la
choice	s? l?a ch?n
choose	ch?n, l?a ch?n
chop	ch?t, d?n, ch?
church	nhà th?
ch? huycomment	l?i bình lu?n, l?i chú gi?i; bình lu?n, phê bình, chú thích,
cigarette	di?u thu?c lá
circle	du?ng tròn, hình tròn
circumstance	hoàn c?nh, tru?ng h?p, tình hu?ng
citizen	ngu?i thành th?
city	thành ph?
civil	công dân
claim	dòi h?i, yêu sách; s? dòi h?i, s? yêu sách, s? th?nh c?u
clap	v?, v? tay; ti?ng n?, ti?ng v? tay
class	l?p h?c
classic	c? di?n, kinh di?n
classroom	l?p h?c, phòng h?c
clean	s?ch, s?ch s?;
clearly	rõ ràng, sáng s?a
clerk	thu ký, linh m?c, m?c su
clever	lanh l?i, thông minh. tài gi?i, khéo léo
click	làm thành ti?ng lách cách; ti?ng lách cách, cú nh?p
client	khách hàng
climate	khí h?u, th?i ti?t
climb	leo, trèo
climbing	s? leo trèo
clock	d?ng h?
close	dóng kín, ch?t ch?i, che d?y
closed	b?o th?, không c?i m?, khép kín
closely	ch?t ch?, k? lu?ng, t? m?
closet	bu?ng, phòng d? d?, phòng kho
cloth	v?i, khan tr?i bàn, áo th?y tu
clothes	qu?n áo
clothing	qu?n áo, y ph?c
cloud	mây, dám mây
club	câu l?c b?; g?y, dùi cui
coach	hu?n luy?n viên
coal	than dá
coast	s? lao d?c; b? bi?n
coat	áo choàng
code	m?t mã, lu?t, di?u l?
coffee	cà phê
coin	ti?n kim lo?i
cold	l?nh, s? l?nh l?o, l?nh nh?t
coldly	l?nh nh?t, h? h?ng, vô tâm
collapse	d?, s?p d?; s? d? nát, s? s?p d?
colleague	b?n d?ng nghi?p
collect	suu t?p, t?p trung l?i
collection	s? suu t?p, s? t? h?p
college	tru?ng cao d?ng, tru?ng d?i h?c
colour	màu s?c; tô màu
coloured	mang màu s?c, có màu s?c
column	c?t , m?c
combination	s? k?t h?p, s? ph?i h?p
combine	k?t h?p, ph?i h?p
come	d?n, t?i, di d?n, di t?i
comedy	hài k?ch
comfort	s? an ?i, khuyên gi?i, l?i d?ng viên, s? an nhàn; d? dành, an
comfortable	tho?i mái, ti?n nghi, d?y d?
comfortably	d? ch?u, tho?i mái, ti?n nghi, ?m cúng
command	ra l?nh, ch? huy; l?nh, m?nh l?nh, quy?n ra l?nh, quy?n
commercial	buôn bán, thuong m?i
commission	h?i d?ng, ?y ban, s? ?y nhi?m, s? ?y thác; ?y nhi?m, ?y
commit	giao, g?i, ?y nhi?m, ?y thác; t?ng giam, b? tù
commitment	s? ph?m t?i, s? t?n t?y, t?n tâm
committee	?y ban
common	công, công c?ng, thông thu?ng, ph? bi?n
commonly	thông thu?ng, bình thu?ng
communicate	truy?n, truy?n d?t; giao thi?p, liên l?c
communication	s? giao ti?p, liên l?c, s? truy?n d?t, truy?n tin
community	dân chúng, nhân dân
company	công ty
compare	so sánh, d?i chi?u
comparison	s? so sánh
compete	dua tranh, ganh dua, c?nh tranh
competition	s? c?nh tranh, cu?c thi, cu?c thi d?u
competitive	c?nh tranh, dua tranh
complain	phàn nàn, kêu ca
complaint	l?i than phi?n, than th?; s? khi?u n?i, don ki?n
complete	hoàn thành, xong;
completely	hoàn thành, d?y d?, tr?n v?n
complex	ph?c t?p, r?c r?i
complicate	làm ph?c t?p, r?c r?i
complicated	ph?c t?p, r?c r?i
computer	máy tính
concentrate	t?p trung
concentration	s? t?p trung, noi t?p trung
concept	khái ni?m
concern	liên quan, dính líu t?i; s? liên quan, s? dính líu t?i
concerned	có liên quan, có dính líu
concerning	bâng khuâng, ái ng?i
concert	bu?i hòa nh?c
conclude	k?t lu?n, k?t thúc, ch?m d?t
conclusion	s? k?t thúc, s? k?t lu?n, ph?n k?t lu?n
concrete	b?ng bê tông; bê tông
condition	di?u ki?n, tình c?nh, tình th?
conduct	di?u khi?n, ch? d?o, ch? huy; s? di?u khi?n, ch?
conference	h?i ngh?, s? bàn b?c
confidence	lòng tin tu?ng, s? tin c?y
confident	tin tu?ng, tin c?y, t? tin
confidently	t? tin
confine	giam gi?, h?n ch?
confined	h?n ch?, gi?i h?n
confirm	xác nh?n, ch?ng th?c
conflict	xung d?t, va ch?m; s? xung d?t, s? va ch?m
confront	d?i m?t, d?i di?n, d?i chi?u
confused	b?i r?i, lúng túng, ngu?ng
confusing	khó hi?u, gây b?i r?i
confusion	s? l?n x?n, s? r?i lo?n
congratulations	s? chúc m?ng, khen ng?i; l?i chúc m?ng, khen
congress	d?i h?i, h?i ngh?, qu?c h?i
connect	k?t n?i, n?i
connection	s? k?t n?i, s? giao k?t
conscious	t?nh táo, có ý th?c, bi?t rõ
consequence	k?t qu?, h?u qu?
conservative	th?n tr?ng, dè d?t, b?o th?
consider	cân nh?c, xem xét; d? ý, quan tâm, luu ý d?n
considerable	l?n lao, to tát, dáng k?
considerably	dáng k?, l?n lao, nhi?u
consideration	s? cân nh?c, s? xem xét, s? d? ý, s? quan tâm
consist of	g?m có
constant	kiên trì, b?n lòng
constantly	kiên d?nh
construct	xây d?ng
construction	s? xây d?ng
consult	tra c?u, tham kh?o, tham dò, h?i ý ki?n
consumer	ngu?i tiêu dùng
contact	s? liên l?c, s? giao thi?p; ti?p xúc
contain	bao hàm, ch?a d?ng, bao g?m
container	cái d?ng, ch?a; công te no
contemporary	duong th?i, duong d?i
content	n?i dung, s? hài lòng
contest	cu?c thi, tr?n d?u, cu?c tranh lu?n, cu?c chi?n d?u, chi?n tranh
context	van c?nh, khung c?nh, ph?m vi
continent	l?c d?a, d?i l?c
continue	ti?p t?c, làm ti?p
continuous	liên t?c, liên ti?p
continuously	liên t?c, liên ti?p
contract	h?p d?ng, s? ký h?p d?ng; ký k?t
contrast	s? tuong ph?n; làm tuong ph?n, làm trái
contrasting	tuong ph?n
contribute	dóng góp, ghóp ph?n
contribution	s? dóng góp, s? góp ph?n
controlled	du?c di?u khi?n, du?c ki?m tra
convenient	ti?n l?i, thu?n l?i, thích h?p
convention	h?i ngh?, hi?p d?nh, quy u?c
conventional	quy u?c
conversation	cu?c dàm tho?i, cu?c trò chuy?n
convert	d?i, bi?n d?i
convince	làm cho tin, thuy?t ph?c; làm cho nh?n th?c th?y
cook	n?u an, ngu?i n?u an
cooker	lò, b?p, n?i n?u
cookie	bánh quy
cooking	s? n?u an, cách n?u an
cool	mát m?, di?m tinh; làm mát,
cope	d?i phó, duong d?u
copy	b?n sao, b?n chép l?i; s? sao chép; sao chép, b?t chu?c
core	nòng c?t, h?t nhân; dáy lòng
corner	góc
correct	dúng, chính xác; s?a, s?a ch?a
correctly	dúng, chính xác
cost	giá, chi phí; tr? giá, ph?i tr?
cottage	nhà tranh
cotton	bông, ch?, s?i
cough	ho, s? ho, ti?ng hoa
coughing	ho
could	có th?, có kh? nang
could modal	có th?
council	h?i d?ng
count	d?m, tính
counter	qu?y hàng, qu?y thu ti?n, máy d?m
country	nu?c, qu?c gia, d?t nu?c
countryside	mi?n quê, mi?n nông thôn
county	h?t, t?nh
couple	dôi, c?p; dôi v? ch?ng, c?p nam n?
courage	s? can d?m, s? dung c?m, dung khí
course	ti?n trình, quá trình di?n ti?n; sân ch?y dua
court	sân, sân , tòa án, quan tòa, phiên tòa
cousin	anh em h?
cover	bao b?c, che ph?; v?, v? b?c
covered	có mái che, kín dáo
covering	s? bao b?c, s? che ph?, cái bao, b?c
cow	con bò cái
crack	c?, xu?t s?c; làm n?t, làm v?, n?t n?, r?n n?t
cracked	r?n, n?t
craft	ngh?, ngh? th? công
crash	v?i thô; s? roi , s? phá s?n, s?p d?; phá tan tành, phá v?n
crazy	diên, m?t trí
cream	kem
create	sáng t?o, t?o nên
creature	sinh v?t, loài v?t
credit	s? tin, lòng tin, danh ti?ng; ti?n g?i ngân hàng
credit card	th? tín d?ng
crime	t?i, t?i ác, t?i ph?m
criminal	có t?i, ph?m t?i; k? ph?m t?i, t?i ph?m
crisis	s? kh?ng ho?ng, con kh?ng ho?ng
crisp	giòn
criterion	tiêu chu?n
critical	phê bình, phê phán; khó tính
criticism	s? phê bình, s? phê phán, l?i phê bình, l?i phê phán
criticize	phê bình, phê phán, ch? trích
crop	v? mùa
cross	cây thánh giá, n?i th?ng kh?; s? bang qua; bang qua, vu?t qua
crowd	dám dông
crowded	dông dúc
crown	vuong mi?n, vua, ngai vàng; d?nh cao nh?t
crucial	quy?t d?nh, c?t y?u, ch? y?u
cruel	d?c ác, d? t?n, tàn nh?n
crush	ép, v?t, dè nát, dè b?p
cry	khóc, kêu la; s? khóc, ti?ng khóc, s? kêu la
cultural	van hóa
culture	van hóa, s? m? mang, s? giáo d?c
cup	tách, chén
cupboard	1 lo?i t? có ngan
curb	ki?m ch?, nén l?i, h?n ch?
cure	ch?a tr?, di?u tr?; cách ch?a b?nh, cách di?u tr?; thu?c
curious	ham mu?n, tò mò, l? lùng
curiously	tò mò, hi?u k?, l? k?
curl	quan, xo?n, u?n quan, làm xo?n; s? u?n quan
curly	quan, xo?n
current	hi?n hành, ph? bi?n, hi?n nay; dòng
currently	hi?n th?i, hi?n nay
curtain	màn
curve	du?ng cong, du?ng vòng; cong, u?n cong, b? cong
curved	cong
custom	phong t?c, t?c l?, thói quen, t?p quán
customer	khách hàng
customs	thu? nh?p kh?u, h?i quan
cut	c?t, ch?t; s? c?t
cycle	chu k?, chu trình, vòng; quay vòng theo chu k?, di xe d?p
cycling	s? di xe d?p
dad	b?, cha
daily	hàng ngày
